Cd_Disciplina	Nome_Disciplina
ADF 401	SOCIOLOGIA RURAL
AGF 100	INTRODUÇÃO À AGRONOMIA
AGF 150	DESENHO TÉCNICO
BQF 100	BIOQUÍMICA FUNDAMENTAL
BQF 101	LABORATÓRIO DE BIOQUÍMICA I
BQF 102	BIOQUÍMICA BÁSICA
BQF 103	BIOQUÍMICA I
CBF 111	BIOLOGIA CELULAR
CBF 111	BIOLOGIA CELULAR
CBF 111	BIOLOGIA CELULAR
CBF 111	BIOLOGIA CELULAR
CBF 111	BIOLOGIA CELULAR
CBF 111	BIOLOGIA CELULAR
CBF 111	BIOLOGIA CELULAR
CBF 111	BIOLOGIA CELULAR
CBF 111	BIOLOGIA CELULAR
CBF 111	BIOLOGIA CELULAR
CBF 111	BIOLOGIA CELULAR
CBF 111	BIOLOGIA CELULAR
CBF 111	BIOLOGIA CELULAR
CBF 111	BIOLOGIA CELULAR
CBF 111	BIOLOGIA CELULAR
CBF 111	BIOLOGIA CELULAR
CBF 111	BIOLOGIA CELULAR
CBF 111	BIOLOGIA CELULAR
CBF 120	CITOLOGIA E HISTOLOGIA
CBF 120	CITOLOGIA E HISTOLOGIA
CBF 120	CITOLOGIA E HISTOLOGIA
CBF 131	ECOLOGIA BÁSICA
CBF 131	ECOLOGIA BÁSICA
CBF 131	ECOLOGIA BÁSICA
CBF 150	ZOOLOGIA GERAL
CBF 170	BIOLOGIA E ECOLOGIA DE ALGAS E BRIÓFITAS
CBF 175	PLANTAS VASCULARES: CÉLULAS E TECIDOS
CBF 176	PLANTAS VASCULARES: BIOLOGIA E ANATOMIA
CBF 180	ORGANOGRAFIA E SISTEMÁTICA DAS ESPERMATÓFITAS
CBF 180	ORGANOGRAFIA E SISTEMÁTICA DAS ESPERMATÓFITAS
CBF 220	ANATOMIA HUMANA
CBF 220	ANATOMIA HUMANA
CBF 220	ANATOMIA HUMANA
CBF 221	HISTOLOGIA BÁSICA
CBF 222	EMBRIOLOGIA BÁSICA
CBF 240	GENÉTICA
CBF 260	ZOOLOGIA DOS INVERTEBRADOS I
CBF 261	ZOOLOGIA DOS INVERTEBRADOS II
EAF 325	INTRODUÇÃO À ENGENHARIA DE ALIMENTOS
EDF 117	PSICOLOGIA DO DESENVOLVIMENTO DA APRENDIZAGEM
EDF 117	PSICOLOGIA DO DESENVOLVIMENTO DA APRENDIZAGEM
EDF 117	PSICOLOGIA DO DESENVOLVIMENTO DA APRENDIZAGEM
EDF 133	EDUCAÇÃO E REALIDADE BRASILEIRA
EFF 100	HISTÓRIA DA EDUCAÇÃO FÍSICA/ESPORTES
EFF 110	SOCORROS DE URGÊNCIA
EFF 115	CRESCIMENTO E DESENVOLVIMENTO
EFF 132	FUNDAMENTOS PEDAGÓGICOS APLICADOS À EDUCAÇÃO FÍSICA/ESPORTES
EFF 166	METODOLOGIA DO ENSINO DO FUTEBOL
EFF 166	METODOLOGIA DO ENSINO DO FUTEBOL
EFF 191	MÉTODOS E TÉCNICAS DE ESTUDO E PESQUISA
EFF 193	FUNDAMENTOS SOCIOLÓGICOS APLICADOS À EDUCAÇÃO FÍSICA/ESPORTES
EFF 196	FUNDAMENTOS FILOSÓFICOS APLICADOS À EDUCAÇÃO FÍSICA/ESPORTES
EFF 200	ORGANIZAÇÃO E ESTRUTURA ESPORTIVA
EFF 490	ATIVIDADES COMPLEMENTARES I
FIF 100	FÍSICA GERAL
FIF 100	FÍSICA GERAL
FIF 100	FÍSICA GERAL
FIF 100	FÍSICA GERAL
FIF 100	FÍSICA GERAL
FIF 121	LABORATÓRIO DE FÍSICA GERAL
FIF 121	LABORATÓRIO DE FÍSICA GERAL
FIF 121	LABORATÓRIO DE FÍSICA GERAL
FIF 121	LABORATÓRIO DE FÍSICA GERAL
FIF 191	INTRODUÇÃO À MECÂNICA
FIF 201	FÍSICA I
FIF 201	FÍSICA I
FIF 202	FÍSICA II
FIF 205	FÍSICA GERAL I
FIF 206	FÍSICA GERAL II
LEF 100	PORTUGUÊS INSTRUMENTAL I
LEF 100	PORTUGUÊS INSTRUMENTAL I
LEF 100	PORTUGUÊS INSTRUMENTAL I
MAF 101	FUNDAMENTOS DE MATEMÁTICA I
MAF 101	FUNDAMENTOS DE MATEMÁTICA I
MAF 102	PRÁTICA DE ENSINO DE MATEMÁTICA I
MAF 105	INICIAÇÃO À ESTATÍSTICA
MAF 132	NOÇÕES DE ÁLGEBRA
MAF 135	GEOMETRIA ANALÍTICA E ÁLGEBRA LINEAR
MAF 137	INTRODUÇÃO À ÁLGEBRA LINEAR
MAF 137	INTRODUÇÃO À ÁLGEBRA LINEAR
MAF 138	NOÇÕES DE ÁLGEBRA LINEAR
MAF 144	CÁLCULO A
MAF 145	CÁLCULO B
MAF 145	CÁLCULO B
MAF 146	CÁLCULO I
MAF 146	CÁLCULO I
MAF 146	CÁLCULO I
MAF 146	CÁLCULO I
MAF 146	CÁLCULO I
MAF 147	CÁLCULO II
MAF 150	DESENHO GEOMÉTRICO
MAF 152	GEOMETRIA ANALÍTICA
MAF 180	INTRODUÇÃO À PROGRAMAÇÃO I
MAF 206	FUNDAMENTOS DE MATEMÁTICA II
MAF 244	CÁLCULO C
MAF 281	MATEMÁTICA FINANCEIRA
QMF 100	QUÍMICA GERAL
QMF 100	QUÍMICA GERAL
QMF 100	QUÍMICA GERAL
QMF 100	QUÍMICA GERAL
QMF 101	FORMAÇÃO PROFISSIONAL E ÁREAS DE ATUAÇÃO DO QUÍMICO
QMF 107	LABORÁTORIO DE QUÍMICA GERAL
QMF 107	LABORÁTORIO DE QUÍMICA GERAL
QMF 107	LABORÁTORIO DE QUÍMICA GERAL
QMF 107	LABORÁTORIO DE QUÍMICA GERAL
QMF 107	LABORÁTORIO DE QUÍMICA GERAL
QMF 107	LABORÁTORIO DE QUÍMICA GERAL
QMF 112	QUÍMICA ANALÍTICA APLICADA
QMF 112	QUÍMICA ANALÍTICA APLICADA
QMF 119	LABORATÓRIO DE QUÍMICA ANALÍTICA APLICADA
QMF 119	LABORATÓRIO DE QUÍMICA ANALÍTICA APLICADA
QMF 119	LABORATÓRIO DE QUÍMICA ANALÍTICA APLICADA
QMF 120	QUÍMICA INORGÂNICA I
QMF 131	QUÍMICA ORGÂNICA I
QMF 138	FUNDAMENTOS DE QUÍMICA ORGÂNICA
QMF 138	FUNDAMENTOS DE QUÍMICA ORGÂNICA
QMF 138	FUNDAMENTOS DE QUÍMICA ORGÂNICA
QMF 138	FUNDAMENTOS DE QUÍMICA ORGÂNICA
QMF 139	LABORATÓRIO DE QUÍMICA ORGÂNICA
QMF 139	LABORATÓRIO DE QUÍMICA ORGÂNICA
QMF 139	LABORATÓRIO DE QUÍMICA ORGÂNICA
QMF 139	LABORATÓRIO DE QUÍMICA ORGÂNICA
QMF 145	HISTÓRIA DA QUÍMICA
QMF 150	FÍSICO-QUÍMICA I
QMF 320	QUÍMICA INORGÂNICA II
TBC 100	MATEMÁTICA APLICADA
TBC 101	PORTUGUÊS INSTRUMENTAL
TBC 103	PROBABILIDADE E ESTATÍSTICA
TBC 104	EMPREENDEDORISMO
